x,y,cluster,name
0.40303093715584914,0.024853423038729307,1,Japan
0.33450869259873117,0.025123404052870127,2,Tokyo
0.47397897527420196,0.015660662743164352,1,Korea
0.19068325256964008,0.08600243441532705,6,he
0.38333724678306397,0.9971982855071652,2,Canberra
0.4279888056724547,0.09124355361741301,1,Australia
0.43224972889736,0.03598796016719171,1,China
0.05679004752621908,0.17376180669258595,4,fall
0.835465744975271,0.8781516768154396,6,parent
0.4393976367289704,0.07341971650632774,1,Canada
0.42093223313774525,0.01966129049816007,1,Brazil
0.4856943332899741,0.09201685745929772,1,England
0.4078989683999212,0.3718367014519002,2,Seoul
0.07850306510488621,0.7461243789479117,2,Oslo
0.4188608338174763,0.17543076007542738,1,Norway
0.028565344192490162,0.18857391663881354,4,spring
1.0,0.3448356568063035,6,people
0.06512095512330363,0.7414231512171875,5,economist
0.003414081493329058,0.1856913993533761,4,summer
0.3826057959121169,0.1064265460129898,1,Iraq
0.9654571408760756,0.4230236250774615,6,man
0.3343568614617906,0.018687302617016652,2,London
0.40611393116061817,0.6385041812030721,2,Manila
0.025260691993254605,0.3130607511207463,4,rain
0.4995864665369316,0.0038621597997312283,1,Germany
0.04469210477284468,0.7331380905765388,5,president
0.3241461080330663,0.008925399967019685,2,Paris
0.4558995124129537,0.07492368765136981,1,France
0.8878449362799328,0.733187334266835,6,male
0.07455645985146062,0.4164142761646226,4,cold
0.4428643881002311,0.09077057026521747,1,Italy
0.20025134992925261,0.7504326651122641,7,automobile
0.19009791431139933,0.08415364152327151,6,she
0.16406593862173566,0.01715626785342064,6,him
0.3113016357429819,0.38973189680788406,7,van
0.31229816542029487,0.06477724978802692,2,Moscow
0.4753567479349238,0.1776167797660494,1,Greece
0.42050825166777234,0.43473628040852064,2,Athens
0.4629909725653047,0.406576917928594,2,Baghdad
0.6789141239554303,0.7899053055578291,7,jet
0.7363410427422628,0.7462327342177273,5,pilot
0.05542091592319156,0.3064421592514032,4,water
0.12168412969122865,0.28263835103236873,7,ship
0.01201544897385133,0.342705230928767,4,air
0.3804441134069927,0.8114189419929386,5,designer
0.4043049777554027,0.24350251404385095,2,Delhi
0.5327495885755817,0.7172853265394411,5,professor
0.14366065734867928,0.27268631764241513,7,car
0.5147088678623598,0.0,2,Berlin
0.20360796095704195,0.46927888711175053,7,truck
0.43177041091342694,0.11980066057404311,1,India
0.7318311417613119,0.8025622846250021,7,vehicle
0.12458462062060874,0.3420477513106452,7,vessel
0.49442288219566904,0.2914325856853315,4,monsoon
0.96830989508366,0.41436145281939407,6,person
0.4235442561551769,0.1985743369564648,1,Kenya
0.812051772750547,0.6739563220411351,5,teacher
0.41044762566954135,0.17538237818750968,1,Sweden
0.4208558306812263,0.3090472215289725,2,Rome
0.0676401588797654,0.3050418059829849,4,fire
0.010182106574973156,0.39297794854344315,4,heat
0.7785786613037207,0.4688803513895884,5,farmer
0.3763702945905693,0.6040466359065375,2,Taipei
0.41257368158791063,0.5643257409383747,2,Beijing
0.07880206739414383,0.1350671117262779,3,bear
0.43390681942953274,0.6038689685424996,2,Lisbon
0.9288766231308941,0.2240183516532696,6,son
0.7003527849393796,0.543400157624159,3,cat
0.7015784412399639,0.6550116277803962,3,mouse
0.08539140616883947,0.3714295577855126,4,cloud
0.012026215145223234,0.39290774944794254,4,dust
0.1637598700282082,0.01619870965504925,6,her
0.09315677240787756,0.5375665195521289,4,atmosphere
0.17825686526208842,0.391889124235415,7,plane
0.44834741840467357,0.20148695180801104,1,Nigeria
0.045785513923592196,0.33982066245287307,4,sun
0.5588956816645594,0.373765878834819,7,cycle
0.8935074603541764,0.6669487599520536,5,police
0.1330952790900946,0.4010074167418266,4,flood
0.8108687794126379,0.6405621451238919,5,lawyer
0.0,0.18585486461739809,4,autumn
0.6422435520073969,0.5134309753748286,3,turkey
0.42179978327857715,0.41477745137922656,1,Jamaica
