x,y,title
0.15570658510198931,0.7892554874803476,"Lord of the Rings: The Two Towers, The (2002)"
0.6256689367929802,0.7731187908686009,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
0.4313784568921791,0.781806280296647,Finding Nemo (2003)
0.30265625369755866,0.7385642440545168,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
0.31157434260123645,0.11717183928964839,Pulp Fiction (1994)
0.2997136347150328,0.9149162354245443,Eternal Sunshine of the Spotless Mind (2004)
0.21343681675427242,0.3528799108246062,Minority Report (2002)
0.48418777080398245,1.0,"Monsters, Inc. (2001)"
0.6665962764917525,0.2272774170668546,Apollo 13 (1995)
0.3816894019555731,0.7111911161760834,Gladiator (2000)
0.8892068627742384,0.092830330794687,True Lies (1994)
0.4818856222147985,0.2590251010247677,Schindler's List (1993)
0.7029215317849222,0.4152395583002026,Toy Story (1995)
0.3978032566658792,0.5725511235782281,"Sixth Sense, The (1999)"
0.33161165855528857,0.476413899478024,Saving Private Ryan (1998)
0.3900094187726461,0.6485993746621688,"Truman Show, The (1998)"
0.3782587963315213,0.41821478657162725,"Princess Bride, The (1987)"
0.5971789079026852,0.03502169285244223,"Rock, The (1996)"
0.5258488431215673,0.8024757662805131,"Incredibles, The (2004)"
0.4845877606533264,0.16780245332992014,Braveheart (1995)
0.501952354875364,0.35388982076456105,Indiana Jones and the Last Crusade (1989)
0.9106808126653845,0.36792853225418415,"Fugitive, The (1993)"
0.5722667569571618,0.21773667488353116,Forrest Gump (1994)
0.35649902995817734,0.7863017640321267,Batman Begins (2005)
0.5053326036744409,0.9019307393174559,Spider-Man (2002)
0.17663177612815958,0.2406993802928917,Star Wars: Episode VI - Return of the Jedi (1983)
0.44913053484605625,0.8542415533173526,Shrek (2001)
0.5461855683048049,0.7204513685354265,X-Men (2000)
0.47955381131888586,0.7370469333075788,"Beautiful Mind, A (2001)"
0.593541487052667,0.8721089224284074,Ocean's Eleven (2001)
0.22470344344760887,0.48079546398424217,"Matrix, The (1999)"
0.6770792172210972,0.525236283086049,Terminator 2: Judgment Day (1991)
0.1012142019795272,0.9359960834114478,"Lord of the Rings: The Return of the King, The (2003)"
0.19525186381103657,0.5557134518465862,"Godfather, The (1972)"
0.44271270486752495,0.42533439293703024,Back to the Future (1985)
0.0441923210375024,0.5617276149381588,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
0.5798720218284764,0.387047490022464,Men in Black (a.k.a. MIB) (1997)
0.7303078612308733,0.3048062339493602,"Lion King, The (1994)"
0.7556812611470074,0.16423799908352632,Jurassic Park (1993)
0.2828705089329066,0.41100591157038335,Star Wars: Episode IV - A New Hope (1977)
0.37859286355318705,0.23365944905464114,"Shawshank Redemption, The (1994)"
0.7966813940450861,0.09845597665128059,Aladdin (1992)
0.14746189914822738,0.4298023102352107,Star Wars: Episode V - The Empire Strikes Back (1980)
0.3034125302560455,0.8272226921260817,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
0.4698711042302464,0.5698715016396424,"Fifth Element, The (1997)"
0.3402742863555382,0.5407872193943961,Monty Python and the Holy Grail (1975)
0.40262180205491954,0.14865461790847334,"Silence of the Lambs, The (1991)"
0.1977511994304042,0.9430728081616221,"Dark Knight, The (2008)"
0.22786501717335578,0.8352635578771522,Memento (2000)
0.403773747848309,0.9373770541973552,Kill Bill: Vol. 1 (2003)
0.2913911197477545,0.24298381413058576,"Usual Suspects, The (1995)"
0.27166439542811294,0.5362788530733881,"Godfather: Part II, The (1974)"
